Year,Data_subsample,Time_resolution,Confidence_interval,Externality,Damages_model,Marginal_or_average,Value
2011,Full dataset,Intra-day,P2.5,Climate,AP2,Marginal,20495978
2011,Full dataset,Intra-day,P2.5,Health,AP2,Marginal,9437236
2011,Full dataset,Intra-day,P2.5,Capacity,AP2,Marginal,27397856
2011,Full dataset,Intra-day,P2.5,Capacity,AP2,Average,27397856
2011,Full dataset,Intra-day,P2.5,Capacity,EASIUR,Marginal,27397856
2011,Full dataset,Intra-day,P2.5,Capacity,EASIUR,Average,27397856
2011,Full dataset,Intra-day,Mean,Climate,AP2,Marginal,26376213
2011,Full dataset,Intra-day,Mean,Health,AP2,Marginal,12132004
2011,Full dataset,Intra-day,Mean,Capacity,AP2,Marginal,34632769
2011,Full dataset,Intra-day,Mean,Capacity,AP2,Average,34632769
2011,Full dataset,Intra-day,Mean,Capacity,EASIUR,Marginal,34632769
2011,Full dataset,Intra-day,Mean,Capacity,EASIUR,Average,34632769
2011,Full dataset,Intra-day,P97.5,Climate,AP2,Marginal,32410501
2011,Full dataset,Intra-day,P97.5,Health,AP2,Marginal,14897520
2011,Full dataset,Intra-day,P97.5,Capacity,AP2,Marginal,42063092
2011,Full dataset,Intra-day,P97.5,Capacity,AP2,Average,42063092
2011,Full dataset,Intra-day,P97.5,Capacity,EASIUR,Marginal,42063092
2011,Full dataset,Intra-day,P97.5,Capacity,EASIUR,Average,42063092
2011,Full dataset,Time-invariant,P2.5,Climate,AP2,Marginal,20911205
2011,Full dataset,Time-invariant,P2.5,Health,AP2,Marginal,9553420
2011,Full dataset,Time-invariant,P2.5,Capacity,AP2,Marginal,24556222
2011,Full dataset,Time-invariant,P2.5,Capacity,AP2,Average,24556222
2011,Full dataset,Time-invariant,P2.5,Capacity,EASIUR,Marginal,24556222
2011,Full dataset,Time-invariant,P2.5,Capacity,EASIUR,Average,24556222
2011,Full dataset,Time-invariant,Mean,Climate,AP2,Marginal,25910513
2011,Full dataset,Time-invariant,Mean,Health,AP2,Marginal,11837387
2011,Full dataset,Time-invariant,Mean,Capacity,AP2,Marginal,30426955
2011,Full dataset,Time-invariant,Mean,Capacity,AP2,Average,30426955
2011,Full dataset,Time-invariant,Mean,Capacity,EASIUR,Marginal,30426955
2011,Full dataset,Time-invariant,Mean,Capacity,EASIUR,Average,30426955
2011,Full dataset,Time-invariant,P97.5,Climate,AP2,Marginal,31020564
2011,Full dataset,Time-invariant,P97.5,Health,AP2,Marginal,14171947
2011,Full dataset,Time-invariant,P97.5,Capacity,AP2,Marginal,36427735
2011,Full dataset,Time-invariant,P97.5,Capacity,AP2,Average,36427735
2011,Full dataset,Time-invariant,P97.5,Capacity,EASIUR,Marginal,36427735
2011,Full dataset,Time-invariant,P97.5,Capacity,EASIUR,Average,36427735
2011,Summer,Intra-day,P2.5,Climate,AP2,Marginal,7792253
2011,Summer,Intra-day,P2.5,Health,AP2,Marginal,3663431
2011,Summer,Intra-day,P2.5,Capacity,AP2,Marginal,34135110
2011,Summer,Intra-day,P2.5,Capacity,AP2,Average,34135110
2011,Summer,Intra-day,P2.5,Capacity,EASIUR,Marginal,34135110
2011,Summer,Intra-day,P2.5,Capacity,EASIUR,Average,34135110
2011,Summer,Intra-day,Mean,Climate,AP2,Marginal,10570700
2011,Summer,Intra-day,Mean,Health,AP2,Marginal,4960001
2011,Summer,Intra-day,Mean,Capacity,AP2,Marginal,45211557
